vehicleTypeId,seatingCapacity,standingRoomCapacity,lengthInMeter,primaryFuelType,primaryFuelConsumptionInJoulePerMeter,primaryFuelCapacityInJoule,primaryVehicleEnergyFile,secondaryFuelType,secondaryFuelConsumptionInJoulePerMeter,secondaryVehicleEnergyFile,secondaryFuelCapacityInJoule,automationLevel,maxVelocity,passengerCarUnit,rechargeLevel2RateLimitInWatts,rechargeLevel3RateLimitInWatts,vehicleCategory,sampleProbabilityWithinCategory,sampleProbabilityString,monetaryCostPerMeter,monetaryCostPerSecond,monetaryCostPerUsage
conv-L1-50000-to-75000-LowTech-2019,3,0,4.5,gasoline,3655.98,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_50000_to_75000/conv--(gasoline_conv_Volkswagen_Tiguan_61000).csv.gz,,,,,1,,,,,Car,0.967976636,ridehail | all:0.14531348643769507; income | 50-75:0.967976635522606,,,
ev-L1-50000-to-75000-LowTech-2019,3,0,4.5,electricity,626,117180000,LowTech_Fastchg_1p5_FASTSimData_2019/income_50000_to_75000/ev--(elect_ev_Mercedes-Benz_B-Class_Electric_Drive_61000).csv.gz,,,,,1,,,,,Car,0.000830062,ridehail | all:0.00012460962602115904; income | 50-75:0.0008300620231929312,,,
hev-L1-50000-to-75000-LowTech-2019,3,0,4.5,gasoline,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_50000_to_75000/hev--(gasoline_hybrid_Ford_C-MAX_Hybrid_FWD_61000).csv.gz,,,,,1,,,,,Car,0.021220212,ridehail | all:0.0031855964833715764; income | 50-75:0.02122021184474704,,,
phev-L1-50000-to-75000-LowTech-2019,3,0,4.5,electricity,626,57712500,LowTech_Fastchg_1p5_FASTSimData_2019/income_50000_to_75000/phev-charge_depleting-(gasoline_phev_Chevrolet_Volt_61000_Charge_Depleting).csv.gz,gasoline,1300,LowTech_Fastchg_1p5_FASTSimData_2019/income_50000_to_75000/phev-charge_sustaining-(gasoline_phev_Chevrolet_Volt_61000_Charge_Sustaining).csv.gz,3655980000,1,,,,,Car,0.001127463,ridehail | all:0.00016925577276624267; income | 50-75:0.0011274633723366953,,,
diesel-L1-50000-to-75000-LowTech-2019,3,0,4.5,diesel,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_50000_to_75000/conv--(diesel_conv_BMW_X3_xDrive28d_61000).csv.gz,,,,,1,,,,,Car,0.008845627,ridehail | all:0.0013279131813546197; income | 50-75:0.008845627237117399,,,
conv-L1-75000-to-100000-LowTech-2019,3,0,4.5,gasoline,3655.98,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_75000_to_100000/conv--(gasoline_conv_Volkswagen_Tiguan_86000).csv.gz,,,,,1,,,,,Car,0.968895798,ridehail | all:0.11573705547589062; income | 75-100:0.9688957975065081,,,
ev-L1-75000-to-100000-LowTech-2019,3,0,4.5,electricity,626,117180000,LowTech_Fastchg_1p5_FASTSimData_2019/income_75000_to_100000/ev--(elect_ev_Mercedes-Benz_B-Class_Electric_Drive_86000).csv.gz,,,,,1,,,,,Car,0.000827125,ridehail | all:9.880220459545774e-05; income | 75-100:0.0008271252488954035,,,
hev-L1-75000-to-100000-LowTech-2019,3,0,4.5,gasoline,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_75000_to_100000/hev--(gasoline_hybrid_Ford_C-MAX_Hybrid_FWD_86000).csv.gz,,,,,1,,,,,Car,0.020258054,ridehail | all:0.002419875796889392; income | 75-100:0.020258053744785766,,,
phev-L1-75000-to-100000-LowTech-2019,3,0,4.5,electricity,626,57712500,LowTech_Fastchg_1p5_FASTSimData_2019/income_75000_to_100000/phev-charge_depleting-(gasoline_phev_Chevrolet_Volt_86000_Charge_Depleting).csv.gz,gasoline,1300,LowTech_Fastchg_1p5_FASTSimData_2019/income_75000_to_100000/phev-charge_sustaining-(gasoline_phev_Chevrolet_Volt_86000_Charge_Sustaining).csv.gz,3655980000,1,,,,,Car,0.001078465,ridehail | all:0.00012882536629278267; income | 75-100:0.0010784649350208742,,,
diesel-L1-75000-to-100000-LowTech-2019,3,0,4.5,diesel,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_75000_to_100000/conv--(diesel_conv_BMW_X3_xDrive28d_86000).csv.gz,,,,,1,,,,,Car,0.008940559,ridehail | all:0.0010679723508570363; income | 75-100:0.008940558564789819,,,
conv-L1-100000-to-200000-LowTech-2019,3,0,4.5,gasoline,3655.98,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_100000_to_200000/conv--(gasoline_conv_Volkswagen_Tiguan_133000).csv.gz,,,,,1,,,,,Car,0.970018552,ridehail | all:0.31787246356448545; income | 100-200:0.9700185518335392,,,
ev-L1-100000-to-200000-LowTech-2019,3,0,4.5,electricity,626,117180000,LowTech_Fastchg_1p5_FASTSimData_2019/income_100000_to_200000/ev--(elect_ev_Mercedes-Benz_B-Class_Electric_Drive_133000).csv.gz,,,,,1,,,,,Car,0.000847889,ridehail | all:0.0002778509499205036; income | 100-200:0.0008478890340017883,,,
hev-L1-100000-to-200000-LowTech-2019,3,0,4.5,gasoline,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_100000_to_200000/hev--(gasoline_hybrid_Ford_C-MAX_Hybrid_FWD_133000).csv.gz,,,,,1,,,,,Car,0.018860097,ridehail | all:0.006180402875725712; income | 100-200:0.01886009684523395,,,
phev-L1-100000-to-200000-LowTech-2019,3,0,4.5,electricity,626,57712500,LowTech_Fastchg_1p5_FASTSimData_2019/income_100000_to_200000/phev-charge_depleting-(gasoline_phev_Chevrolet_Volt_133000_Charge_Depleting).csv.gz,gasoline,1300,LowTech_Fastchg_1p5_FASTSimData_2019/income_100000_to_200000/phev-charge_sustaining-(gasoline_phev_Chevrolet_Volt_133000_Charge_Sustaining).csv.gz,3655980000,1,,,,,Car,0.000988533,ridehail | all:0.00032393955077978954; income | 100-200:0.0009885328549865803,,,
diesel-L1-100000-to-200000-LowTech-2019,3,0,4.5,diesel,1300,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_100000_to_200000/conv--(diesel_conv_BMW_X3_xDrive28d_133000).csv.gz,,,,,1,,,,,Car,0.009284929,ridehail | all:0.003042646336061526; income | 100-200:0.00928492943223842,,,
conv-L1-200000-to-100000000-LowTech-2019,3,0,4.5,gasoline,3655.98,3655980000,LowTech_Fastchg_1p5_FASTSimData_2019/income_200000_to_100000000/conv--(gasoline_conv_Acura_MDX_4WD_327000).csv.gz,,,,,1,,,,,Car,0.965860657,ridehail | all:0.1737628252489681; income | 200-9999:0.9658606573612178,,,
ev-L1-200000-to-100000000-LowTech-2019,3,0,4.5,electricity,626,292950000,LowTech_Fastchg_1p5_FASTSimData_2019/income_200000_to_100000000/ev--(elect_ev_Tesla_Model_S_70D_327000).csv.gz,,,,,1,,,,,Car,0.00171358,ridehail | all:0.0003082810437108723; income | 200-9999:0.0017135801694289827,,,
